run,layer,epoch,mdk_lambda0
L2_partA_flow_mdk,0,1,0.4158729314804077
L2_partA_flow_mdk,0,2,0.4507180452346802
L2_partA_flow_mdk,0,3,0.43836498260498047
L2_partA_flow_mdk,0,4,0.44756320118904114
L2_partA_flow_mdk,0,5,0.46586647629737854
L2_partA_flow_mdk,0,6,0.4457933306694031
L2_partA_flow_mdk,0,7,0.4523010849952698
L2_partA_flow_mdk,0,8,0.4400336444377899
L2_partA_flow_mdk,0,9,0.45311716198921204
L2_partA_flow_mdk,0,10,0.433478444814682
L2_partA_flow_mdk,0,11,0.4383811354637146
L2_partA_flow_mdk,0,12,0.4271811544895172
L2_partA_flow_mdk,0,13,0.4272012710571289
L2_partA_flow_mdk,0,14,0.39880502223968506
L2_partA_flow_mdk,0,15,0.415475070476532
L2_partA_flow_mdk,0,16,0.40026605129241943
L2_partA_flow_mdk,0,17,0.3980958163738251
L2_partA_flow_mdk,0,18,0.3905843198299408
L2_partA_flow_mdk,0,19,0.388723760843277
L2_partA_flow_mdk,0,20,0.3936162292957306
L2_partA_flow_mdk,0,21,0.37211403250694275
L2_partA_flow_mdk,0,22,0.3756714165210724
L2_partA_flow_mdk,0,23,0.3734913766384125
L2_partA_flow_mdk,0,24,0.3781950771808624
L2_partA_flow_mdk,0,25,0.362955778837204
L2_partA_flow_mdk,0,26,0.36390358209609985
L2_partA_flow_mdk,0,27,0.36159268021583557
L2_partA_flow_mdk,0,28,0.3697800636291504
L2_partA_flow_mdk,0,29,0.3701671361923218
L2_partA_flow_mdk,0,30,0.36518898606300354
L2_partA_flow_mdk,0,31,0.36865001916885376
L2_partA_flow_mdk,0,32,0.3599329888820648
L2_partA_flow_mdk,0,33,0.3491680920124054
L2_partA_flow_mdk,0,34,0.3548792004585266
L2_partA_flow_mdk,0,35,0.3589722812175751
L2_partA_flow_mdk,0,36,0.352011501789093
L2_partA_flow_mdk,0,37,0.3499492406845093
L2_partA_flow_mdk,0,38,0.34887996315956116
L2_partA_flow_mdk,0,39,0.3465994596481323
L2_partA_flow_mdk,0,40,0.34979432821273804
L2_partA_flow_mdk,1,1,0.44559115171432495
L2_partA_flow_mdk,1,2,0.4309711456298828
L2_partA_flow_mdk,1,3,0.41059696674346924
L2_partA_flow_mdk,1,4,0.3734104037284851
L2_partA_flow_mdk,1,5,0.3779860734939575
L2_partA_flow_mdk,1,6,0.3490656912326813
L2_partA_flow_mdk,1,7,0.34090912342071533
L2_partA_flow_mdk,1,8,0.32627207040786743
L2_partA_flow_mdk,1,9,0.3159104287624359
L2_partA_flow_mdk,1,10,0.3283554017543793
L2_partA_flow_mdk,1,11,0.31700754165649414
L2_partA_flow_mdk,1,12,0.319039911031723
L2_partA_flow_mdk,1,13,0.309273362159729
L2_partA_flow_mdk,1,14,0.3170352876186371
L2_partA_flow_mdk,1,15,0.3124901056289673
L2_partA_flow_mdk,1,16,0.3120899200439453
L2_partA_flow_mdk,1,17,0.3103584349155426
L2_partA_flow_mdk,1,18,0.2986283004283905
L2_partA_flow_mdk,1,19,0.2933436632156372
L2_partA_flow_mdk,1,20,0.2814905345439911
L2_partA_flow_mdk,1,21,0.27781030535697937
L2_partA_flow_mdk,1,22,0.27285507321357727
L2_partA_flow_mdk,1,23,0.27315807342529297
L2_partA_flow_mdk,1,24,0.2839282751083374
L2_partA_flow_mdk,1,25,0.281528115272522
L2_partA_flow_mdk,1,26,0.2764691114425659
L2_partA_flow_mdk,1,27,0.27178266644477844
L2_partA_flow_mdk,1,28,0.2787935435771942
L2_partA_flow_mdk,1,29,0.2825016677379608
L2_partA_flow_mdk,1,30,0.2840282917022705
L2_partA_flow_mdk,1,31,0.272568017244339
L2_partA_flow_mdk,1,32,0.2602183520793915
L2_partA_flow_mdk,1,33,0.26527631282806396
L2_partA_flow_mdk,1,34,0.260355144739151
L2_partA_flow_mdk,1,35,0.255309134721756
L2_partA_flow_mdk,1,36,0.25660941004753113
L2_partA_flow_mdk,1,37,0.25187185406684875
L2_partA_flow_mdk,1,38,0.25394582748413086
L2_partA_flow_mdk,1,39,0.24735766649246216
L2_partA_flow_mdk,1,40,0.2530216574668884
L2_partA_flow_mdk,2,1,0.4150666892528534
L2_partA_flow_mdk,2,2,0.38752683997154236
L2_partA_flow_mdk,2,3,0.3491697907447815
L2_partA_flow_mdk,2,4,0.33496248722076416
L2_partA_flow_mdk,2,5,0.3117673695087433
L2_partA_flow_mdk,2,6,0.2930793762207031
L2_partA_flow_mdk,2,7,0.2817676067352295
L2_partA_flow_mdk,2,8,0.2558109164237976
L2_partA_flow_mdk,2,9,0.23851065337657928
L2_partA_flow_mdk,2,10,0.23524627089500427
L2_partA_flow_mdk,2,11,0.21861271560192108
L2_partA_flow_mdk,2,12,0.21098370850086212
L2_partA_flow_mdk,2,13,0.19498880207538605
L2_partA_flow_mdk,2,14,0.17956115305423737
L2_partA_flow_mdk,2,15,0.17889513075351715
L2_partA_flow_mdk,2,16,0.17789988219738007
L2_partA_flow_mdk,2,17,0.16774573922157288
L2_partA_flow_mdk,2,18,0.16271372139453888
L2_partA_flow_mdk,2,19,0.16369906067848206
L2_partA_flow_mdk,2,20,0.1567358523607254
L2_partA_flow_mdk,2,21,0.15082615613937378
L2_partA_flow_mdk,2,22,0.15027132630348206
L2_partA_flow_mdk,2,23,0.14575321972370148
L2_partA_flow_mdk,2,24,0.1436617225408554
L2_partA_flow_mdk,2,25,0.14061492681503296
L2_partA_flow_mdk,2,26,0.1310596913099289
L2_partA_flow_mdk,2,27,0.12899534404277802
L2_partA_flow_mdk,2,28,0.1326630413532257
L2_partA_flow_mdk,2,29,0.12776795029640198
L2_partA_flow_mdk,2,30,0.1267773061990738
L2_partA_flow_mdk,2,31,0.12186172604560852
L2_partA_flow_mdk,2,32,0.11486372351646423
L2_partA_flow_mdk,2,33,0.11704038083553314
L2_partA_flow_mdk,2,34,0.10944601893424988
L2_partA_flow_mdk,2,35,0.10042950510978699
L2_partA_flow_mdk,2,36,0.09880331158638
L2_partA_flow_mdk,2,37,0.09388628602027893
L2_partA_flow_mdk,2,38,0.09469982981681824
L2_partA_flow_mdk,2,39,0.092532217502594
L2_partA_flow_mdk,2,40,0.08789485692977905
